2022-05-18 23:05:119 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 13:05:930 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='login-button']]
2022-05-19 13:05:972 INFO  ProductPage :32 - select from dropdown list[[[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //select[@class='product_sort_container']]]
2022-05-19 13:05:136 INFO  ProductPage :40 - select the product and add to cartADD TO CART
2022-05-19 13:05:284 INFO  CheckOutPage :45 - click On Open Shoppingcart : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 13:05:352 INFO  CheckOutPage :49 - click On checkOut : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //button[@id='checkout']]
2022-05-19 13:05:451 INFO  CheckOutPage :53 - enter First name : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='first-name']]
2022-05-19 13:05:527 INFO  CheckOutPage :57 - enter Last name : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='last-name']]
2022-05-19 13:05:605 INFO  CheckOutPage :61 - enter Zip code : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='postal-code']]
2022-05-19 13:05:671 INFO  CheckOutPage :70 - click On Contonue : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='continue']]
2022-05-19 13:05:736 INFO  CheckOutPage :74 - click On Finishbutton : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //button[@id='finish']]
2022-05-20 12:05:869 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:91 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='user-name']]
2022-05-20 12:05:185 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='password']]
2022-05-20 12:05:331 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='login-button']]
2022-05-20 12:05:372 INFO  ProductPage :32 - select from dropdown list[[[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //select[@class='product_sort_container']]]
2022-05-20 12:05:498 INFO  ProductPage :40 - select the product and add to cartADD TO CART
2022-05-20 12:05:666 INFO  CheckOutPage :45 - click On Open Shoppingcart : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-20 12:05:751 INFO  CheckOutPage :49 - click On checkOut : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //button[@id='checkout']]
2022-05-20 12:05:871 INFO  CheckOutPage :53 - enter First name : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='first-name']]
2022-05-20 12:05:965 INFO  CheckOutPage :57 - enter Last name : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='last-name']]
2022-05-20 12:05:66 INFO  CheckOutPage :61 - enter Zip code : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='postal-code']]
2022-05-20 12:05:164 INFO  CheckOutPage :70 - click On Contonue : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //input[@id='continue']]
2022-05-20 12:05:253 INFO  CheckOutPage :74 - click On Finishbutton : [[ChromeDriver: chrome on WINDOWS (5c3d5441991115090a175830630fa5f9)] -> xpath: //button[@id='finish']]
